鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
大園區,土地,五塊厝段大埔小段301~330地號,6.0,,特定農業區,甲種建築用地,1071222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,208725,34788,,0.0,0,,RPQPMLTLJHOFFEH56CA
大園區,建物,桃園市大園區竹圍街151~180號,0.0,,,,1071207,土地0建物3車位0,一層，二層，騎樓,二層,工廠,住家用,加強磚造,0661206,826.16,0,0,0,無,無,800000,,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPSOMLLMJHOFFEH58CA
八德區,房地(土地+建物),桃園市八德區力行街182巷4弄1~30號,42.48,住,,,1071218,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710223,108.96,3,2,2,有,無,2700000,24780,,0.0,0,,RPWNMLKKJHOFFFH68CA
八德區,房地(土地+建物)+車位,桃園市八德區天祥街102巷31~60號,14.91,住,,,1071204,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040120,106.08,2,2,1,有,無,6000000,56561,坡道平面,25.89,0,,RPTNMLLKJHOFFFH48CA
八德區,房地(土地+建物),桃園市八德區和平路528巷202弄31~60號,100.75,,鄉村區,乙種建築用地,1071208,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0860718,100.28,3,2,2,有,無,6000000,59832,,0.0,0,,RPUNMLLKJHOFFFH58CA
八德區,房地(土地+建物),桃園市八德區正福三街31~60號,6.15,商,,,1071128,土地1建物1車位0,十二層,十五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960718,51.589999999999996,1,1,1,有,有,2300000,44582,,0.0,0,,RPWNMLLKJHOFFFH78CA
八德區,房地(土地+建物),桃園市八德區豐德路118巷1~30號,69.22,住,,,1071124,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0640205,46.57,1,1,1,有,無,3800000,81598,,0.0,0,,RPOOMLLKJHOFFFH08CA
八德區,房地(土地+建物),桃園市八德區高城一街9巷31~60號,46.76,住,,,1071211,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0670427,60.02,3,2,2,有,無,2500000,41653,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLMKJHOFFFH18CA
八德區,房地(土地+建物)+車位,桃園市八德區金和路31~60號,16.13,商,,,1071119,土地1建物1車位1,十一層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050412,213.47000000000003,3,2,2,有,有,16180000,76907,坡道平面,19.99,1300000,,RPTNMLOKJHOFFFH78CA
八德區,房地(土地+建物)+車位,桃園市八德區金和路1~30號,16.13,商,,,1071202,土地1建物1車位1,二十三層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050412,213.64,3,2,2,有,有,16670000,78854,坡道平面,19.99,1400000,,RPUNMLOKJHOFFFH88CA
