鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
苓雅區,房地(土地+建物),高雄市苓雅區六合路31~60號,10.76,商,,,1080101,土地2建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0731105,110.1,3,2,3,有,有,4380000,39782,,0.0,0,,RPQNMLRLJHOFFBE18CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區永裕街31~60號,16.39,住,,,1071007,土地2建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070808,165.93,2,2,2,有,有,11990000,72259,坡道平面,28.14,0,,RPXPMLOKJHOFFBE68CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區永裕街31~60號,16.39,住,,,1071111,土地2建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070808,165.93,2,2,2,有,有,11680000,70391,坡道平面,28.14,0,,RPPQMLOKJHOFFBE97CA
苓雅區,房地(土地+建物)+車位,高雄市新興區中正二路181~210號,9.86,住,,,1071019,土地1建物1車位1,九層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070702,210.13,3,2,2,有,有,15100000,71860,坡道機械,10.4,0,,RPQNMLPKJHOFFBE87CA
苓雅區,房地(土地+建物),高雄市新興區中正二路181~210號,9.04,商,,,1071022,土地1建物1車位0,九層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070702,200.36,3,2,2,有,有,13700000,68377,,0.0,0,,RPRNMLPKJHOFFBE97CA
新興區,房地(土地+建物),高雄市新興區南華路181~210號,3.46,商,,,1071209,土地1建物1車位0,五層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0940803,41.02,1,1,1,有,有,2360000,57533,,0.0,0,含增建或未登記建物。;,RPRPMLPKJHOFFBE18CA
新興區,房地(土地+建物)+車位,高雄市新興區興華路61~90號,14.04,商,,,1071221,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960413,145.13,3,2,2,有,有,9850000,67870,坡道機械,0.0,0,,RPROMLLKJHOFFBE67CA
苓雅區,房地(土地+建物),高雄市苓雅區林森二路1~30號,42.68,商,,,1071217,土地1建物2車位0,十一層,十七層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0780114,476.57,4,2,1,有,有,9600000,20144,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLNKJHOFFBE77CA
新興區,房地(土地+建物)+車位,高雄市新興區新田路91~120號,14.23,商,,,1071226,土地2建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840717,124.91999999999999,5,2,3,有,有,7500000,60038,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;購買1/2持分,RPVNMLOKJHOFFBE28CA
苓雅區,房地(土地+建物),高雄市苓雅區苓雅一路361~390號,88.0,商,,,1071210,土地1建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0640628,185.07,0,0,0,無,無,21300000,115092,,0.0,0,含增建或未登記建物。;,RPWNMLSKJHOFFBE78CA
新興區,房地(土地+建物),高雄市新興區中正四路1~30號,44.5,商,,,1071212,土地2建物1車位0,全,三層,透天厝,,加強磚造,0540810,29.02,4,2,2,有,無,13500000,465196,,0.0,0,,RPVNMLTKJHOFFBE78CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區廣州一街121~150號,23.03,住,,,1071217,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0731106,200.16000000000003,4,2,2,有,有,13200000,65947,坡道平面,0.0,0,含增建或未登記建物。,RPSNMLKKJHOFFBE57CA
苓雅區,房地(土地+建物),高雄市苓雅區中山二路481~510號,2.49,商,,,1071227,土地1建物1車位0,五層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,0851003,27.880000000000003,1,1,1,有,有,1200000,43042,,0.0,0,,RPXNMLKKJHOFFBE08CA
苓雅區,房地(土地+建物),高雄市苓雅區建民路208巷1~30號,52.0,商,,,1071219,土地1建物1車位0,全,二層,透天厝,,加強磚造,0640228,76.46,3,2,2,有,無,5550000,72587,,0.0,0,,RPSNMLLKJHOFFBE67CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路241~270號,15.28,商,,,1071211,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020604,215.64,4,2,2,有,有,15000000,69560,坡道平面,0.0,0,,RPRNMLPLJHOFFAE97CA
鹽埕區,房地(土地+建物),高雄市鹽埕區大勇路1~30號,66.0,商,,,1071115,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0530810,66.05,2,1,1,有,無,4500000,68130,,0.0,0,包含公共設施保留地之交易。;,RPTNMLOKJHOFFAE97CA
前金區,房地(土地+建物),高雄市前金區青山里大同一路271~300號,4.04,商,,,1071130,土地1建物1車位0,二十三層,二十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070904,63.379999999999995,2,1,1,有,有,5700000,89934,,0.0,0,,RPOPMLLLJHOFFAE47CA
前金區,房地(土地+建物)+車位,高雄市前金區青山里大同一路271~300號,5.13,商,,,1071218,土地1建物1車位1,二十八層,二十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070904,122.3,2,1,1,有,有,8400000,68684,坡道平面,46.17,0,,RPRNMLMLJHOFFAE67CA
鹽埕區,房地(土地+建物),高雄市鹽埕區北端街61~90號,17.54,商,,,1071003,土地1建物1車位0,九層，十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871027,175.73,3,2,2,有,有,7560000,43021,,0.0,0,,RPQNMLTKJHOFFAE18CA
前金區,房地(土地+建物),高雄市前金區青山里大同一路271~300號,4.17,商,,,1071130,土地1建物1車位0,二十一層,二十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070904,65.05000000000001,2,1,1,有,有,5200000,79939,,0.0,0,,RPUNMLMLJHOFFAE97CA
