鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
新莊區,房地(土地+建物),新北市新莊區昌平街59巷1~30號,8.46,住,,,1071208,土地1建物1車位0,十五層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840713,73.42,2,2,1,有,有,8250000,112367,,0.0,0,含增建或未登記建物。,RPSOMLTJJHOFFBF58CA
新莊區,房地(土地+建物),新北市新莊區中平路270巷7弄1~30號,11.21,住,,,1071126,土地1建物1車位0,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841018,81.64,2,2,1,有,有,8450000,103503,,0.0,0,含增建或未登記建物。,RPTOMLTJJHOFFBF68CA
五股區,房地(土地+建物)+車位,新北市五股區成泰路二段91~120號,16.72,商,,,1071207,土地1建物1車位1,二層,九層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0890627,132.85,0,0,0,無,有,8800000,66240,升降機械,7.17,0,含增建或未登記建物。;,RPRRMLTJJHOFFBF78CA
新莊區,房地(土地+建物),新北市新莊區建福路59巷31~60號,27.84,住,,,1071124,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740822,100.28,3,2,2,有,無,8300000,82768,,0.0,0,含增建或未登記建物。,RPPOMLSJJHOFFBF18CA
新莊區,房地(土地+建物),新北市新莊區明智街21巷1~30號,22.36,住,,,1071222,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0620530,51.83,2,2,1,有,無,7000000,135057,,0.0,0,,RPUOMLSJJHOFFBF68CA
五股區,土地,成蘆段931~960地號,213.8,住,,,1071224,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24492655,114559,,0.0,0,,RPUSMLSJJHOFFBF09CA
五股區,土地,成蘆段931~960地號,200.79,住,,,1071224,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22992771,114512,,0.0,0,,RPVSMLSJJHOFFBF56CA
五股區,土地,成蘆段961~990地號,211.75,住,,,1071226,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28180000,133081,,0.0,0,,RPWSMLSJJHOFFBF66CA
五股區,土地,陸光段121~150地號,144.41,其他,,,1071227,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3980000,27560,,0.0,0,包含公共設施保留地之交易。;,RPXSMLSJJHOFFBF76CA
新莊區,房地(土地+建物),新北市新莊區中正路155巷2弄1~30號,21.8,住,,,1071125,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690214,87.75,3,2,2,有,無,7500000,85470,,0.0,0,含增建或未登記建物。,RPSNMLSJJHOFFBF38CA
