鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
三重區,房地(土地+建物)+車位,新北市三重區中正南路250巷1~30號,17.12,住,,,1071127,土地5建物1車位2,二十六層,三十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,970627.0,298.94,4,2,3,有,有,35500000,118753.0,坡道平面,70.0,0,,RPTNMLNJJHOFFGF58DA
板橋區,房地(土地+建物)+車位,新北市板橋區文化路一段361~390號,4.95,住,,,1071201,土地1建物1車位1,二十六層,四十三層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,990715.0,110.34,2,2,1,有,有,19400000,175820.0,坡道平面,28.94,0,,RPUOMLMKKHOFFAF38EA
五股區,房地(土地+建物)+車位,新北市五股區成泰路一段189巷1~30號,20.0,住,,,1071208,土地1建物1車位1,七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820729.0,175.88,3,2,2,有,有,10350000,58850.0,坡道平面,0.0,0,,RPTQMLOJJHOFFBF58EA
板橋區,房地(土地+建物)+車位,新北市板橋區莊敬路61~90號,32.47,住,,,1071123,土地1建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,961115.0,348.01,5,2,4,有,有,46200000,132755.0,坡道平面,44.02,0,,RPTOMLMKKHOFFAF28EA
中和區,房地(土地+建物),新北市中和區宜安路1~30號,10.13,住,,,1071022,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931008.0,71.62,1,2,1,有,有,11980000,167272.0,,0.0,0,含增建或未登記建物。,RPTNMLPJJHOFFHF88DA
三重區,房地(土地+建物)+車位,新北市三重區中正南路250巷1~30號,8.93,住,,,1071209,土地5建物1車位1,二十五層,三十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,970627.0,155.91,2,2,2,有,有,19500000,147133.0,坡道平面,36.97,2000000,,RPWQMLRJJHOFFGF96DA
汐止區,房地(土地+建物)+車位,新北市汐止區湖前街1~30號,24.49,住,,,1071121,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831101.0,183.21,5,2,2,有,有,13000000,70957.0,坡道平面,0.0,1500000,含增建或未登記建物。,RPOOMLOJJHOFFDF97DA
新莊區,房地(土地+建物)+車位,新北市新莊區民安西路91~120號,21.87,住,,,1071121,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950915.0,182.59,4,2,2,有,有,16100000,98006.0,坡道平面,35.15,1650000,含增建或未登記建物。,RPSNMLPJJHOFFBF18DA
板橋區,房地(土地+建物)+車位,新北市板橋區中山路一段151~180號,23.61,其他,,,1071031,土地1建物1車位2,五層,三十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,991217.0,341.6,4,2,2,有,有,57290000,198429.0,坡道機械,73.04,4000000,含增建或未登記建物。,RPVOMLOJJHOFFAF38DA
中和區,房地(土地+建物),新北市中和區景平路181~210號,2.27,住,,,1071213,土地3建物1車位0,十一層,四十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,861104.0,38.42,1,1,1,有,有,4370000,113743.0,,0.0,0,,RPQNMLOJJHOFFHF38CA
淡水區,房地(土地+建物)+車位,新北市淡水區北新路141巷31~60號,13.6,住,,,1071206,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841005.0,105.4,2,1,1,有,有,5150000,48861.0,坡道平面,0.0,0,,RPUPMLRKJHOFFEF09CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段211~240號,8.12,商,,,1071011,土地1建物1車位1,二十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525.0,123.3,1,2,1,有,有,7740000,71521.0,坡道平面,30.46,1100000,,RPTNMLQKJHOFFEF68CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段181~210號,10.34,商,,,1071115,土地1建物1車位1,十二層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525.0,148.76999999999995,3,2,2,有,有,9600000,70155.0,坡道平面,30.46,1300000,,RPUNMLQKJHOFFEF78CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段301~330號,7.98,商,,,1071204,土地1建物1車位1,十八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525.0,108.15,2,2,1,有,有,6460000,64141.0,坡道機械,15.23,500000,,RPVNMLQKJHOFFEF88CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段211~240號,7.91,商,,,1071218,土地1建物1車位1,十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525.0,107.46,1,2,1,有,有,7090000,71452.0,坡道機械,15.23,500000,,RPWNMLQKJHOFFEF98CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段241~270號,8.12,商,,,1071211,土地1建物1車位1,二十九層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525.0,123.3,1,2,1,有,有,7620000,70228.0,坡道平面,30.46,1100000,,RPOOMLQKJHOFFEF28CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段181~210號,8.13,商,,,1071211,土地1建物1車位1,二十三層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525.0,123.38,2,2,1,有,有,7340000,67155.0,坡道平面,30.46,1100000,,RPPOMLQKJHOFFEF38CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段241~270號,9.93,商,,,1071211,土地1建物1車位1,十四層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525.0,152.47,3,2,2,有,有,10510000,77125.0,坡道平面,30.46,1100000,,RPQOMLQKJHOFFEF48CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段271~300號,8.71,商,,,1071211,土地1建物1車位1,十九層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525.0,129.15,1,2,1,有,有,7610000,65964.0,坡道平面,30.46,1100000,,RPROMLQKJHOFFEF58CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段241~270號,7.96,商,,,1071211,土地1建物1車位1,十九層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525.0,108.07,1,2,1,有,有,7020000,70228.0,坡道機械,15.23,500000,,RPXQMLPKJHOFFEF66CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段301~330號,8.71,商,,,1071112,土地1建物1車位1,二十三層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525.0,129.15,3,2,1,有,有,8250000,72449.0,坡道平面,30.46,1100000,,RPRNMLPKJHOFFEF38CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段241~270號,9.93,商,,,1071112,土地1建物1車位1,八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525.0,152.47,3,2,2,有,有,10500000,75404.0,坡道平面,30.46,1300000,,RPSNMLPKJHOFFEF48CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段241~270號,9.93,商,,,1071112,土地1建物1車位1,十七層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525.0,152.47,3,2,2,有,有,10820000,78026.0,坡道平面,30.46,1300000,,RPTNMLPKJHOFFEF58CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段241~270號,8.71,商,,,1071112,土地1建物1車位1,二十五層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525.0,129.15,2,2,1,有,有,8060000,69004.0,坡道平面,30.46,1250000,,RPUNMLPKJHOFFEF68CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段271~300號,8.07,商,,,1071211,土地1建物1車位1,八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525.0,122.69,2,2,1,有,有,7360000,65705.0,坡道平面,30.46,1300000,,RPWNMLPKJHOFFEF88CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段271~300號,10.34,商,,,1071211,土地1建物1車位1,二十二層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525.0,148.76,3,2,2,有,有,10380000,78445.0,坡道平面,30.46,1100000,,RPOOMLPKJHOFFEF18CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段181~210號,10.34,商,,,1071211,土地1建物1車位1,十六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525.0,149.22,3,2,2,有,有,10620000,78899.0,坡道平面,30.46,1250000,,RPPOMLPKJHOFFEF28CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段181~210號,8.13,商,,,1071211,土地1建物1車位1,二十層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525.0,123.38,2,2,1,有,有,7470000,66939.0,坡道平面,30.46,1250000,,RPQOMLPKJHOFFEF38CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段211~240號,8.87,商,,,1071211,土地1建物1車位2,十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525.0,144.38,2,2,1,有,有,8950000,72449.0,坡道平面,45.69,1800000,,RPSOMLPKJHOFFEF58CA
